frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
0,0.0,206,376,463,469,334.5,422.5,0.0
1,0.016663387251643402,195,318,471,407,333.0,362.5,-60.0
2,0.033326774503286805,186,282,476,368,331.0,325.0,-97.5
3,0.0499901617549302,181,266,477,342,329.0,304.0,-118.5
4,0.06665354900657361,178,265,476,341,327.0,303.0,-119.5
5,0.083316936258217,178,264,463,366,320.5,315.0,-107.5
6,0.0999803235098604,193,325,451,424,322.0,374.5,-48.0
7,0.1166437107615038,206,403,448,500,327.0,451.5,29.0
8,0.13330709801314722,214,496,446,604,330.0,550.0,127.5
9,0.14997048526479062,223,599,440,710,331.5,654.5,232.0
10,0.166633872516434,232,728,428,832,330.0,780.0,357.5
11,0.1832972597680774,232,862,432,967,332.0,914.5,492.0
12,0.1999606470197208,232,992,450,1097,341.0,1044.5,622.0
13,0.2166240342713642,232,1118,453,1216,342.5,1167.0,744.5
14,0.2332874215230076,233,1224,464,1328,348.5,1276.0,853.5
15,0.249950808774651,234,1330,475,1433,354.5,1381.5,959.0
16,0.26661419602629444,229,1438,476,1531,352.5,1484.5,1062.0
17,0.28327758327793784,215,1521,474,1603,344.5,1562.0,1139.5
18,0.29994097052958124,200,1586,484,1661,342.0,1623.5,1201.0
19,0.3166043577812246,197,1624,494,1690,345.5,1657.0,1234.5
20,0.333267745032868,201,1626,497,1692,349.0,1659.0,1236.5
21,0.3499311322845114,205,1603,496,1675,350.5,1639.0,1216.5
22,0.3665945195361548,216,1551,488,1631,352.0,1591.0,1168.5
23,0.3832579067877982,233,1471,482,1556,357.5,1513.5,1091.0
24,0.3999212940394416,237,1370,472,1468,354.5,1419.0,996.5
25,0.416584681291085,241,1276,466,1367,353.5,1321.5,899.0
26,0.4332480685427284,246,1153,474,1256,360.0,1204.5,782.0
27,0.4499114557943718,248,1008,464,1134,356.0,1071.0,648.5
28,0.4665748430460152,244,911,459,1012,351.5,961.5,539.0
29,0.4832382302976586,242,782,453,894,347.5,838.0,415.5
30,0.499901617549302,237,655,454,763,345.5,709.0,286.5
31,0.5165650048009455,227,543,450,648,338.5,595.5,173.0
32,0.5332283920525889,217,449,458,544,337.5,496.5,74.0
33,0.5498917793042323,213,358,466,462,339.5,410.0,-12.5
34,0.5665551665558757,198,298,469,392,333.5,345.0,-77.5
35,0.5832185538075191,186,271,480,353,333.0,312.0,-110.5
36,0.5998819410591625,184,271,480,346,332.0,308.5,-114.0
37,0.6165453283108059,178,276,473,362,325.5,319.0,-103.5
38,0.6332087155624492,189,291,472,398,330.5,344.5,-78.0
39,0.6498721028140926,200,371,464,458,332.0,414.5,-8.0
40,0.666535490065736,206,431,458,530,332.0,480.5,58.0
41,0.6831988773173794,222,524,445,621,333.5,572.5,150.0
42,0.6998622645690228,220,619,440,734,330.0,676.5,254.0
43,0.7165256518206662,222,750,434,847,328.0,798.5,376.0
44,0.7331890390723096,223,863,431,971,327.0,917.0,494.5
45,0.749852426323953,237,990,435,1113,336.0,1051.5,629.0
46,0.7665158135755964,230,1116,445,1234,337.5,1175.0,752.5
47,0.7831792008272398,225,1245,445,1358,335.0,1301.5,879.0
48,0.7998425880788832,221,1362,458,1463,339.5,1412.5,990.0
49,0.8165059753305266,207,1449,465,1547,336.0,1498.0,1075.5
50,0.83316936258217,203,1532,473,1607,338.0,1569.5,1147.0
51,0.8498327498338134,203,1580,485,1648,344.0,1614.0,1191.5
52,0.8664961370854568,201,1603,496,1674,348.5,1638.5,1216.0
53,0.8831595243371002,199,1607,496,1676,347.5,1641.5,1219.0
54,0.8998229115887436,206,1578,492,1650,349.0,1614.0,1191.5
55,0.916486298840387,216,1524,484,1608,350.0,1566.0,1143.5
56,0.9331496860920304,225,1464,479,1544,352.0,1504.0,1081.5
57,0.9498130733436738,231,1346,470,1461,350.5,1403.5,981.0
58,0.9664764605953172,241,1260,456,1351,348.5,1305.5,883.0
59,0.9831398478469606,251,1128,462,1230,356.5,1179.0,756.5
60,0.999803235098604,254,1000,464,1105,359.0,1052.5,630.0
61,1.0164666223502474,248,862,460,974,354.0,918.0,495.5
62,1.033130009601891,242,746,464,856,353.0,801.0,378.5
63,1.0497933968535342,237,638,461,738,349.0,688.0,265.5
64,1.0664567841051777,241,537,464,639,352.5,588.0,165.5
65,1.083120171356821,227,437,474,536,350.5,486.5,64.0
66,1.0997835586084646,212,370,476,462,344.0,416.0,-6.5
67,1.1164469458601078,208,319,480,407,344.0,363.0,-59.5
68,1.1331103331117514,191,260,484,368,337.5,314.0,-108.5
69,1.1497737203633946,183,280,480,354,331.5,317.0,-105.5
70,1.1664371076150382,181,286,474,364,327.5,325.0,-97.5
71,1.1831004948666815,192,296,466,403,329.0,349.5,-73.0
72,1.199763882118325,205,369,458,468,331.5,418.5,-4.0
73,1.2164272693699683,211,455,448,555,329.5,505.0,82.5
74,1.2330906566216118,214,536,439,654,326.5,595.0,172.5
75,1.249754043873255,215,661,439,762,327.0,711.5,289.0
76,1.2664174311248984,226,784,432,881,329.0,832.5,410.0
77,1.2830808183765419,224,910,435,1008,329.5,959.0,536.5
78,1.2997442056281852,221,1036,443,1134,332.0,1085.0,662.5
79,1.3164075928798287,222,1138,446,1248,334.0,1193.0,770.5
80,1.333070980131472,221,1252,453,1357,337.0,1304.5,882.0
81,1.3497343673831155,212,1364,452,1462,332.0,1413.0,990.5
82,1.3663977546347588,201,1452,456,1544,328.5,1498.0,1075.5
83,1.3830611418864023,199,1544,465,1615,332.0,1579.5,1157.0
84,1.3997245291380456,191,1590,480,1659,335.5,1624.5,1202.0
85,1.416387916389689,189,1608,483,1674,336.0,1641.0,1218.5
86,1.4330513036413324,193,1600,488,1666,340.5,1633.0,1210.5
87,1.4497146908929759,201,1564,488,1638,344.5,1601.0,1178.5
88,1.4663780781446192,223,1500,479,1585,351.0,1542.5,1120.0
89,1.4830414653962627,230,1415,473,1511,351.5,1463.0,1040.5
90,1.499704852647906,232,1320,471,1421,351.5,1370.5,948.0
91,1.5163682398995495,246,1218,470,1317,358.0,1267.5,845.0
92,1.5330316271511928,249,1094,471,1208,360.0,1151.0,728.5
93,1.5496950144028363,249,984,462,1094,355.5,1039.0,616.5
94,1.5663584016544796,250,865,465,974,357.5,919.5,497.0
95,1.583021788906123,249,735,461,846,355.0,790.5,368.0
96,1.5996851761577664,242,616,465,726,353.5,671.0,248.5
97,1.61634856340941,237,517,472,612,354.5,564.5,142.0
98,1.6330119506610532,228,423,477,522,352.5,472.5,50.0
99,1.6496753379126967,218,352,482,445,350.0,398.5,-24.0
100,1.66633872516434,206,312,493,398,349.5,355.0,-67.5
101,1.6830021124159835,195,299,491,374,343.0,336.5,-86.0
102,1.6996654996676268,194,298,491,374,342.5,336.0,-86.5
103,1.7163288869192703,200,311,489,392,344.5,351.5,-71.0
104,1.7329922741709136,203,348,481,433,342.0,390.5,-32.0
105,1.7496556614225571,202,393,470,491,336.0,442.0,19.5
106,1.7663190486742004,210,465,461,567,335.5,516.0,93.5
107,1.782982435925844,217,566,450,670,333.5,618.0,195.5
108,1.7996458231774872,222,653,441,779,331.5,716.0,293.5
109,1.8163092104291307,223,793,430,900,326.5,846.5,424.0
110,1.832972597680774,223,900,439,1024,331.0,962.0,539.5
111,1.8496359849324175,221,1049,434,1152,327.5,1100.5,678.0
112,1.8662993721840608,224,1150,436,1276,330.0,1213.0,790.5
113,1.8829627594357043,208,1288,445,1386,326.5,1337.0,914.5
114,1.8996261466873476,203,1381,453,1478,328.0,1429.5,1007.0
115,1.9162895339389912,199,1465,464,1552,331.5,1508.5,1086.0
116,1.9329529211906344,199,1528,472,1602,335.5,1565.0,1142.5
117,1.949616308442278,191,1568,480,1638,335.5,1603.0,1180.5
118,1.9662796956939212,184,1591,481,1658,332.5,1624.5,1202.0
119,1.9829430829455648,185,1584,480,1653,332.5,1618.5,1196.0
120,1.999606470197208,197,1551,473,1624,335.0,1587.5,1165.0
121,2.0162698574488513,200,1502,470,1573,335.0,1537.5,1115.0
122,2.032933244700495,216,1400,465,1501,340.5,1450.5,1028.0
123,2.0495966319521384,227,1306,465,1411,346.0,1358.5,936.0
124,2.066260019203782,241,1170,465,1298,353.0,1234.0,811.5
125,2.082923406455425,241,1068,456,1182,348.5,1125.0,702.5
126,2.0995867937070685,240,940,456,1056,348.0,998.0,575.5
127,2.116250180958712,248,818,472,929,360.0,873.5,451.0
128,2.1329135682103555,246,704,475,816,360.5,760.0,337.5
129,2.1495769554619986,243,615,480,708,361.5,661.5,239.0
130,2.166240342713642,238,519,476,606,357.0,562.5,140.0
131,2.1829037299652856,225,430,481,521,353.0,475.5,53.0
132,2.199567117216929,218,362,483,454,350.5,408.0,-14.5
133,2.216230504468572,205,316,490,401,347.5,358.5,-64.0
134,2.2328938917202157,198,299,495,375,346.5,337.0,-85.5
135,2.249557278971859,198,298,495,371,346.5,334.5,-88.0
136,2.2662206662235027,202,311,489,392,345.5,351.5,-71.0
137,2.282884053475146,209,348,480,440,344.5,394.0,-28.5
138,2.2995474407267893,216,414,466,512,341.0,463.0,40.5
139,2.316210827978433,221,509,459,606,340.0,557.5,135.0
140,2.3328742152300763,224,605,455,706,339.5,655.5,233.0
141,2.3495376024817194,230,705,447,812,338.5,758.5,336.0
142,2.366200989733363,237,827,446,930,341.5,878.5,456.0
143,2.3828643769850064,221,950,439,1053,330.0,1001.5,579.0
144,2.39952776423665,217,1061,441,1163,329.0,1112.0,689.5
145,2.416191151488293,214,1180,442,1280,328.0,1230.0,807.5
146,2.4328545387399365,209,1291,441,1388,325.0,1339.5,917.0
147,2.44951792599158,205,1380,445,1485,325.0,1432.5,1010.0
148,2.4661813132432235,200,1465,455,1559,327.5,1512.0,1089.5
149,2.4828447004948666,183,1549,463,1621,323.0,1585.0,1162.5
150,2.49950808774651,175,1585,471,1649,323.0,1617.0,1194.5
151,2.5161714749981536,180,1584,474,1652,327.0,1618.0,1195.5
152,2.5328348622497967,185,1566,475,1637,330.0,1601.5,1179.0
153,2.54949824950144,196,1513,472,1600,334.0,1556.5,1134.0
154,2.5661616367530837,210,1460,470,1544,340.0,1502.0,1079.5
155,2.5828250240047272,214,1363,466,1468,340.0,1415.5,993.0
156,2.5994884112563703,219,1275,463,1377,341.0,1326.0,903.5
157,2.616151798508014,230,1164,455,1276,342.5,1220.0,797.5
158,2.6328151857596573,232,1053,456,1163,344.0,1108.0,685.5
159,2.649478573011301,241,943,452,1047,346.5,995.0,572.5
160,2.666141960262944,248,799,450,928,349.0,863.5,441.0
161,2.6828053475145874,253,690,451,800,352.0,745.0,322.5
162,2.699468734766231,246,582,473,680,359.5,631.0,208.5
163,2.7161321220178745,235,481,480,584,357.5,532.5,110.0
164,2.7327955092695175,232,410,492,504,362.0,457.0,34.5
165,2.749458896521161,216,334,499,446,357.5,390.0,-32.5
166,2.7661222837728046,209,301,503,404,356.0,352.5,-70.0
167,2.782785671024448,207,317,505,390,356.0,353.5,-69.0
168,2.799449058276091,206,320,501,394,353.5,357.0,-65.5
169,2.8161124455277347,210,334,498,418,354.0,376.0,-46.5
170,2.832775832779378,214,376,483,465,348.5,420.5,-2.0
171,2.8494392200310217,216,444,474,526,345.0,485.0,62.5
172,2.8661026072826647,230,525,463,608,346.5,566.5,144.0
