frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
97,1.6163639200998752,147,430,428,517,287.5,473.5,-31.0
98,1.6330274656679151,151,471,420,575,285.5,523.0,18.5
99,1.649691011235955,157,536,418,638,287.5,587.0,82.5
100,1.666354556803995,162,610,416,716,289.0,663.0,158.5
101,1.683018102372035,170,694,416,798,293.0,746.0,241.5
102,1.699681647940075,178,789,412,888,295.0,838.5,334.0
103,1.7163451935081149,184,892,414,994,299.0,943.0,438.5
104,1.7330087390761548,184,993,421,1097,302.5,1045.0,540.5
105,1.7496722846441948,184,1111,424,1202,304.0,1156.5,652.0
106,1.7663358302122347,187,1186,424,1300,305.5,1243.0,738.5
107,1.7829993757802747,184,1271,436,1384,310.0,1327.5,823.0
108,1.7996629213483146,178,1359,449,1453,313.5,1406.0,901.5
109,1.8163264669163546,167,1431,456,1501,311.5,1466.0,961.5
110,1.8329900124843945,167,1459,461,1528,314.0,1493.5,989.0
111,1.8496535580524345,168,1470,463,1534,315.5,1502.0,997.5
112,1.8663171036204744,169,1458,463,1525,316.0,1491.5,987.0
113,1.8829806491885144,169,1436,461,1505,315.0,1470.5,966.0
114,1.8996441947565543,177,1397,456,1471,316.5,1434.0,929.5
115,1.9163077403245943,189,1327,452,1415,320.5,1371.0,866.5
116,1.9329712858926342,188,1258,446,1346,317.0,1302.0,797.5
117,1.9496348314606742,195,1161,446,1265,320.5,1213.0,708.5
118,1.9662983770287141,198,1068,431,1167,314.5,1117.5,613.0
119,1.982961922596754,207,959,431,1063,319.0,1011.0,506.5
120,1.999625468164794,201,846,426,953,313.5,899.5,395.0
121,2.016289013732834,195,745,426,845,310.5,795.0,290.5
122,2.032952559300874,190,652,433,750,311.5,701.0,196.5
123,2.049616104868914,174,576,439,669,306.5,622.5,118.0
124,2.066279650436954,168,496,435,606,301.5,551.0,46.5
125,2.082943196004994,154,469,441,551,297.5,510.0,5.5
126,2.0996067415730337,151,429,441,510,296.0,469.5,-35.0
127,2.1162702871410737,143,414,443,487,293.0,450.5,-54.0
128,2.1329338327091136,142,407,441,481,291.5,444.0,-60.5
129,2.1495973782771536,144,406,441,492,292.5,449.0,-55.5
130,2.1662609238451935,151,438,438,522,294.5,480.0,-24.5
131,2.1829244694132335,162,483,429,572,295.5,527.5,23.0
132,2.1995880149812734,174,551,426,640,300.0,595.5,91.0
133,2.2162515605493134,184,637,422,734,303.0,685.5,181.0
134,2.2329151061173533,182,733,416,833,299.0,783.0,278.5
135,2.2495786516853933,182,846,414,938,298.0,892.0,387.5
136,2.2662421972534332,186,943,421,1037,303.5,990.0,485.5
137,2.282905742821473,178,1030,421,1131,299.5,1080.5,576.0
138,2.299569288389513,179,1133,424,1223,301.5,1178.0,673.5
139,2.316232833957553,178,1209,432,1307,305.0,1258.0,753.5
140,2.332896379525593,180,1289,442,1377,311.0,1333.0,828.5
141,2.349559925093633,176,1370,446,1440,311.0,1405.0,900.5
142,2.366223470661673,175,1418,451,1490,313.0,1454.0,949.5
143,2.382887016229713,169,1457,459,1528,314.0,1492.5,988.0
144,2.399550561797753,166,1479,461,1544,313.5,1511.5,1007.0
145,2.416214107365793,168,1471,462,1536,315.0,1503.5,999.0
146,2.4328776529338327,177,1430,455,1502,316.0,1466.0,961.5
147,2.4495411985018727,186,1370,451,1453,318.5,1411.5,907.0
148,2.4662047440699126,186,1298,447,1384,316.5,1341.0,836.5
149,2.4828682896379526,190,1217,442,1310,316.0,1263.5,759.0
150,2.4995318352059925,194,1113,445,1222,319.5,1167.5,663.0
151,2.5161953807740325,191,1032,432,1129,311.5,1080.5,576.0
152,2.5328589263420724,194,930,436,1037,315.0,983.5,479.0
153,2.5495224719101124,188,842,431,942,309.5,892.0,387.5
154,2.5661860174781523,184,751,431,848,307.5,799.5,295.0
155,2.5828495630461923,187,661,428,754,307.5,707.5,203.0
156,2.5995131086142322,184,569,431,664,307.5,616.5,112.0
157,2.616176654182272,172,483,435,585,303.5,534.0,29.5
158,2.632840199750312,161,425,440,528,300.5,476.5,-28.0
159,2.649503745318352,152,414,447,494,299.5,454.0,-50.5
160,2.666167290886392,147,406,447,480,297.0,443.0,-61.5
161,2.682830836454432,145,413,446,486,295.5,449.5,-55.0
162,2.699494382022472,150,436,440,513,295.0,474.5,-30.0
163,2.716157927590512,155,468,433,554,294.0,511.0,6.5
164,2.732821473158552,161,521,427,613,294.0,567.0,62.5
165,2.749485018726592,168,574,424,681,296.0,627.5,123.0
166,2.7661485642946317,170,658,424,755,297.0,706.5,202.0
167,2.7828121098626717,172,740,412,842,292.0,791.0,286.5
168,2.7994756554307116,187,838,415,942,301.0,890.0,385.5
169,2.8161392009987516,186,938,419,1042,302.5,990.0,485.5
170,2.8328027465667915,188,1050,421,1151,304.5,1100.5,596.0
171,2.8494662921348315,184,1151,424,1248,304.0,1199.5,695.0
172,2.8661298377028714,182,1238,430,1334,306.0,1286.0,781.5
173,2.8827933832709114,177,1292,443,1405,310.0,1348.5,844.0
174,2.8994569288389513,167,1389,450,1463,308.5,1426.0,921.5
175,2.9161204744069913,162,1430,453,1500,307.5,1465.0,960.5
176,2.9327840199750312,159,1450,455,1515,307.0,1482.5,978.0
177,2.949447565543071,161,1448,456,1514,308.5,1481.0,976.5
178,2.966111111111111,165,1434,456,1502,310.5,1468.0,963.5
179,2.982774656679151,168,1407,456,1477,312.0,1442.0,937.5
180,2.999438202247191,178,1364,448,1438,313.0,1401.0,896.5
181,3.016101747815231,184,1299,437,1376,310.5,1337.5,833.0
182,3.032765293383271,192,1207,436,1300,314.0,1253.5,749.0
183,3.049428838951311,194,1120,435,1211,314.5,1165.5,661.0
184,3.066092384519351,194,1012,433,1111,313.5,1061.5,557.0
185,3.082755930087391,194,906,432,1007,313.0,956.5,452.0
186,3.0994194756554307,194,805,430,905,312.0,855.0,350.5
187,3.1160830212234707,192,709,431,808,311.5,758.5,254.0
188,3.1327465667915106,183,628,431,717,307.0,672.5,168.0
189,3.1494101123595506,173,557,444,652,308.5,604.5,100.0
190,3.1660736579275905,164,487,444,592,304.0,539.5,35.0
191,3.1827372034956305,158,464,446,544,302.0,504.0,-0.5
192,3.1994007490636704,152,436,448,511,300.0,473.5,-31.0
193,3.2160642946317104,151,420,449,494,300.0,457.0,-47.5
194,3.2327278401997503,151,422,449,494,300.0,458.0,-46.5
195,3.2493913857677903,153,440,447,514,300.0,477.0,-27.5
196,3.2660549313358302,166,467,440,558,303.0,512.5,8.0
