frame_index,time_s,x_min,y_min,x_max,y_max,x_center,y_center,dy_px
0,0.0,318,445,560,523,439.0,484.0,0.0
1,0.016663533845921907,329,496,557,574,443.0,535.0,51.0
2,0.03332706769184381,339,558,560,638,449.5,598.0,114.0
3,0.049990601537765716,342,625,557,708,449.5,666.5,182.5
4,0.06665413538368763,350,698,562,782,456.0,740.0,256.0
5,0.08331766922960952,351,770,562,855,456.5,812.5,328.5
6,0.09998120307553143,360,840,567,931,463.5,885.5,401.5
7,0.11664473692145334,361,927,568,1006,464.5,966.5,482.5
8,0.13330827076737525,366,996,570,1079,468.0,1037.5,553.5
9,0.14997180461329715,362,1065,571,1147,466.5,1106.0,622.0
10,0.16663533845921905,361,1134,578,1214,469.5,1174.0,690.0
11,0.18329887230514097,353,1204,586,1268,469.5,1236.0,752.0
12,0.19996240615106287,341,1239,590,1302,465.5,1270.5,786.5
13,0.21662593999698476,335,1259,590,1320,462.5,1289.5,805.5
14,0.23328947384290669,335,1258,590,1320,462.5,1289.0,805.0
15,0.24995300768882858,332,1242,583,1304,457.5,1273.0,789.0
16,0.2666165415347505,332,1208,572,1272,452.0,1240.0,756.0
17,0.2832800753806724,332,1162,566,1229,449.0,1195.5,711.5
18,0.2999436092265943,329,1102,561,1178,445.0,1140.0,656.0
19,0.3166071430725162,329,1041,553,1119,441.0,1080.0,596.0
20,0.3332706769184381,323,977,550,1054,436.5,1015.5,531.5
21,0.34993421076436,328,896,542,985,435.0,940.5,456.5
22,0.36659774461028194,327,817,537,904,432.0,860.5,376.5
23,0.38326127845620384,320,732,533,820,426.5,776.0,292.0
24,0.39992481230212573,318,646,533,738,425.5,692.0,208.0
25,0.41658834614804763,309,571,534,663,421.5,617.0,133.0
26,0.4332518799939695,304,514,529,597,416.5,555.5,71.5
27,0.4499154138398914,296,469,541,544,418.5,506.5,22.5
28,0.46657894768581337,288,436,547,510,417.5,473.0,-11.0
29,0.48324248153173527,286,428,550,493,418.0,460.5,-23.5
30,0.49990601537765716,288,424,550,490,419.0,457.0,-27.0
31,0.5165695492235791,293,433,553,498,423.0,465.5,-18.5
32,0.533233083069501,296,449,551,516,423.5,482.5,-1.5
33,0.5498966169154229,303,459,554,544,428.5,501.5,17.5
34,0.5665601507613448,316,504,554,585,435.0,544.5,60.5
35,0.5832236846072667,322,561,556,642,439.0,601.5,117.5
36,0.5998872184531886,338,626,557,711,447.5,668.5,184.5
37,0.6165507522991105,340,693,556,790,448.0,741.5,257.5
38,0.6332142861450324,344,782,556,874,450.0,828.0,344.0
39,0.6498778199909543,348,868,560,959,454.0,913.5,429.5
40,0.6665413538368762,347,960,560,1044,453.5,1002.0,518.0
41,0.6832048876827981,346,1025,573,1114,459.5,1069.5,585.5
42,0.69986842152872,344,1098,584,1174,464.0,1136.0,652.0
43,0.7165319553746419,344,1146,588,1219,466.0,1182.5,698.5
44,0.7331954892205639,337,1195,593,1256,465.0,1225.5,741.5
45,0.7498590230664858,335,1224,596,1286,465.5,1255.0,771.0
46,0.7665225569124077,335,1243,596,1304,465.5,1273.5,789.5
47,0.7831860907583296,334,1248,598,1308,466.0,1278.0,794.0
48,0.7998496246042515,335,1238,594,1298,464.5,1268.0,784.0
49,0.8165131584501734,331,1210,588,1271,459.5,1240.5,756.5
50,0.8331766922960953,336,1152,578,1230,457.0,1191.0,707.0
51,0.8498402261420172,338,1074,567,1173,452.5,1123.5,639.5
52,0.866503759987939,343,1023,554,1100,448.5,1061.5,577.5
53,0.883167293833861,342,936,549,1023,445.5,979.5,495.5
54,0.8998308276797828,337,858,545,940,441.0,899.0,415.0
55,0.9164943615257047,326,777,542,867,434.0,822.0,338.0
56,0.9331578953716267,323,709,535,792,429.0,750.5,266.5
57,0.9498214292175486,317,643,541,724,429.0,683.5,199.5
58,0.9664849630634705,312,580,541,662,426.5,621.0,137.0
59,0.9831484969093924,311,525,541,604,426.0,564.5,80.5
60,0.9998120307553143,306,481,543,553,424.5,517.0,33.0
61,1.0164755646012362,297,438,548,514,422.5,476.0,-8.0
62,1.0331390984471582,294,422,550,487,422.0,454.5,-29.5
63,1.04980263229308,291,412,550,478,420.5,445.0,-39.0
64,1.066466166139002,293,420,551,488,422.0,454.0,-30.0
65,1.0831296999849238,298,437,548,514,423.0,475.5,-8.5
66,1.0997932338308458,316,480,547,560,431.5,520.0,36.0
67,1.1164567676767676,318,533,545,616,431.5,574.5,90.5
68,1.1331203015226896,322,598,545,680,433.5,639.0,155.0
69,1.1497838353686114,328,664,547,749,437.5,706.5,222.5
70,1.1664473692145334,335,744,551,821,443.0,782.5,298.5
71,1.1831109030604552,344,808,554,890,449.0,849.0,365.0
72,1.1997744369063772,350,885,560,969,455.0,927.0,443.0
73,1.216437970752299,353,960,568,1043,460.5,1001.5,517.5
74,1.233101504598221,353,1031,570,1117,461.5,1074.0,590.0
75,1.249765038444143,354,1095,577,1180,465.5,1137.5,653.5
76,1.2664285722900648,348,1158,586,1237,467.0,1197.5,713.5
77,1.2830921061359868,338,1214,592,1279,465.0,1246.5,762.5
78,1.2997556399819086,337,1240,600,1303,468.5,1271.5,787.5
79,1.3164191738278306,337,1249,599,1309,468.0,1279.0,795.0
80,1.3330827076737524,337,1238,598,1299,467.5,1268.5,784.5
81,1.3497462415196744,338,1211,592,1277,465.0,1244.0,760.0
82,1.3664097753655962,337,1173,588,1240,462.5,1206.5,722.5
83,1.3830733092115182,344,1130,582,1195,463.0,1162.5,678.5
84,1.39973684305744,344,1058,576,1143,460.0,1100.5,616.5
85,1.416400376903362,341,1002,569,1085,455.0,1043.5,559.5
86,1.4330639107492837,338,930,563,1021,450.5,975.5,491.5
87,1.4497274445952057,338,857,550,943,444.0,900.0,416.0
88,1.4663909784411278,334,766,542,857,438.0,811.5,327.5
89,1.4830545122870495,328,695,540,777,434.0,736.0,252.0
90,1.4997180461329715,322,615,546,699,434.0,657.0,173.0
91,1.5163815799788933,312,547,544,632,428.0,589.5,105.5
92,1.5330451138248153,306,502,548,575,427.0,538.5,54.5
93,1.5497086476707371,290,460,546,537,418.0,498.5,14.5
94,1.5663721815166591,286,439,547,511,416.5,475.0,-9.0
95,1.583035715362581,284,436,547,502,415.5,469.0,-15.0
96,1.599699249208503,284,437,547,502,415.5,469.5,-14.5
97,1.6163627830544247,286,448,548,514,417.0,481.0,-3.0
98,1.6330263169003467,290,468,550,537,420.0,502.5,18.5
99,1.6496898507462685,302,503,547,570,424.5,536.5,52.5
100,1.6663533845921905,305,542,540,620,422.5,581.0,97.0
101,1.6830169184381125,318,587,537,681,427.5,634.0,150.0
102,1.6996804522840343,329,669,546,758,437.5,713.5,229.5
103,1.7163439861299563,326,750,546,838,436.0,794.0,310.0
104,1.733007519975878,336,835,547,921,441.5,878.0,394.0
105,1.7496710538218,339,912,551,1005,445.0,958.5,474.5
106,1.766334587667722,338,989,566,1074,452.0,1031.5,547.5
107,1.782998121513644,339,1063,572,1138,455.5,1100.5,616.5
108,1.7996616553595657,341,1122,579,1190,460.0,1156.0,672.0
109,1.8163251892054877,343,1168,583,1230,463.0,1199.0,715.0
110,1.8329887230514095,344,1201,589,1264,466.5,1232.5,748.5
111,1.8496522568973315,344,1225,594,1288,469.0,1256.5,772.5
112,1.8663157907432535,342,1239,596,1302,469.0,1270.5,786.5
113,1.8829793245891753,341,1238,596,1298,468.5,1268.0,784.0
114,1.8996428584350973,341,1216,595,1280,468.0,1248.0,764.0
115,1.916306392281019,350,1164,591,1243,470.5,1203.5,719.5
116,1.932969926126941,354,1109,582,1191,468.0,1150.0,666.0
117,1.9496334599728629,356,1045,579,1128,467.5,1086.5,602.5
118,1.9662969938187849,360,967,572,1054,466.0,1010.5,526.5
119,1.9829605276647067,356,898,562,976,459.0,937.0,453.0
120,1.9996240615106287,350,818,559,902,454.5,860.0,376.0
121,2.0162875953565504,337,746,562,828,449.5,787.0,303.0
122,2.0329511292024725,334,681,558,761,446.0,721.0,237.0
123,2.0496146630483945,326,611,554,697,440.0,654.0,170.0
124,2.0662781968943165,322,554,552,636,437.0,595.0,111.0
125,2.082941730740238,312,502,555,580,433.5,541.0,57.0
126,2.09960526458616,306,460,553,537,429.5,498.5,14.5
127,2.116268798432082,295,432,554,504,424.5,468.0,-16.0
128,2.132932332278004,289,424,553,490,421.0,457.0,-27.0
129,2.1495958661239256,289,426,551,492,420.0,459.0,-25.0
130,2.1662593999698476,292,434,549,511,420.5,472.5,-11.5
131,2.1829229338157696,296,467,545,549,420.5,508.0,24.0
132,2.1995864676616916,303,518,536,600,419.5,559.0,75.0
133,2.216250001507613,306,571,538,659,422.0,615.0,131.0
134,2.232913535353535,312,628,537,721,424.5,674.5,190.5
135,2.249577069199457,316,703,543,787,429.5,745.0,261.0
136,2.266240603045379,321,776,544,857,432.5,816.5,332.5
137,2.2829041368913012,329,842,550,930,439.5,886.0,402.0
138,2.299567670737223,328,912,556,1004,442.0,958.0,474.0
139,2.316231204583145,333,990,558,1079,445.5,1034.5,550.5
140,2.332894738429067,332,1055,560,1147,446.0,1101.0,617.0
141,2.349558272274989,333,1129,568,1206,450.5,1167.5,683.5
142,2.3662218061209104,328,1191,576,1254,452.0,1222.5,738.5
143,2.3828853399668324,324,1222,585,1286,454.5,1254.0,770.0
144,2.3995488738127544,326,1238,586,1298,456.0,1268.0,784.0
145,2.4162124076586764,330,1233,592,1294,461.0,1263.5,779.5
146,2.432875941504598,332,1216,591,1277,461.5,1246.5,762.5
147,2.44953947535052,338,1187,591,1249,464.5,1218.0,734.0
148,2.466203009196442,342,1149,590,1212,466.0,1180.5,696.5
149,2.482866543042364,344,1096,584,1165,464.0,1130.5,646.5
150,2.499530076888286,351,1032,578,1110,464.5,1071.0,587.0
151,2.5161936107342076,350,950,573,1048,461.5,999.0,515.0
152,2.5328571445801296,351,884,567,974,459.0,929.0,445.0
153,2.5495206784260516,353,813,562,896,457.5,854.5,370.5
154,2.5661842122719736,349,721,567,814,458.0,767.5,283.5
